,Cell ID,Vehicle ID,Start time,End time
221,102,41,2019-11-30 10:00:03,
222,102,93,2019-11-30 10:00:09,
223,102,112,2019-11-30 10:00:09,
224,102,113,2019-11-30 10:00:09,
225,102,47,2019-11-30 10:00:17,
226,103,112,2019-11-30 10:00:06,
227,103,113,2019-11-30 10:00:06,
228,103,41,2019-11-30 10:00:06,
229,103,93,2019-11-30 10:00:10,
230,104,149,2019-11-30 10:00:10,
231,107,155,2019-11-30 10:00:11,
232,107,158,2019-11-30 10:00:11,
233,108,166,2019-11-30 10:00:12,
234,108,167,2019-11-30 10:00:12,
235,108,164,2019-11-30 10:00:12,
236,108,170,2019-11-30 10:00:12,
237,109,167,2019-11-30 10:00:12,
238,109,149,2019-11-30 10:00:12,
239,109,170,2019-11-30 10:00:12,
240,109,164,2019-11-30 10:00:12,
241,111,25,2019-11-30 10:00:00,
242,111,35,2019-11-30 10:00:00,
243,111,41,2019-11-30 10:00:00,
244,111,74,2019-11-30 10:00:02,
245,111,75,2019-11-30 10:00:03,
246,111,92,2019-11-30 10:00:03,
247,111,93,2019-11-30 10:00:03,
248,111,122,2019-11-30 10:00:07,
249,111,47,2019-11-30 10:00:16,
250,111,179,2019-11-30 10:00:16,
251,111,196,2019-11-30 10:00:18,
252,111,69,2019-11-30 10:00:26,
253,112,21,2019-11-30 10:00:00,
254,112,25,2019-11-30 10:00:00,
255,112,35,2019-11-30 10:00:00,
256,112,47,2019-11-30 10:00:00,
257,112,24,2019-11-30 10:00:00,
258,112,34,2019-11-30 10:00:01,
259,112,92,2019-11-30 10:00:03,
260,112,103,2019-11-30 10:00:05,
261,112,93,2019-11-30 10:00:05,
262,112,41,2019-11-30 10:00:07,
263,112,122,2019-11-30 10:00:09,
264,112,69,2019-11-30 10:00:27,
265,112,108,2019-11-30 10:00:29,
266,113,24,2019-11-30 10:00:00,
267,113,34,2019-11-30 10:00:00,
268,113,35,2019-11-30 10:00:03,
269,113,92,2019-11-30 10:00:05,
270,113,108,2019-11-30 10:00:08,
271,113,138,2019-11-30 10:00:08,
272,114,10,2019-11-30 10:00:00,
273,114,59,2019-11-30 10:00:01,
274,114,45,2019-11-30 10:00:02,
275,114,34,2019-11-30 10:00:04,
276,114,108,2019-11-30 10:00:21,
277,114,231,2019-11-30 10:00:28,
278,115,10,2019-11-30 10:00:00,
279,115,34,2019-11-30 10:00:06,
280,115,108,2019-11-30 10:00:21,
281,119,118,2019-11-30 10:00:06,
282,126,22,2019-11-30 10:00:00,
283,126,36,2019-11-30 10:00:00,
284,126,64,2019-11-30 10:00:02,
285,127,4,2019-11-30 10:00:05,
286,127,64,2019-11-30 10:00:27,
287,127,36,2019-11-30 10:00:28,
288,127,22,2019-11-30 10:00:28,
289,127,234,2019-11-30 10:00:28,
290,127,221,2019-11-30 10:00:28,
291,128,4,2019-11-30 10:00:00,
292,128,104,2019-11-30 10:00:05,
293,128,109,2019-11-30 10:00:05,
294,128,110,2019-11-30 10:00:05,
295,128,221,2019-11-30 10:00:21,
296,128,234,2019-11-30 10:00:28,
